"2024/08/02 5:25:23 PM GMT+7","FSK","45 tahun - 60 tahun","Indomie-kuah-kari","Setiap bulan minimal 1 bungkus namun tidak setiap minggu"
"2024/08/02 5:41:53 PM GMT+7","Ati","30 tahun - 45 tahun","Kuah","Tidak setiap bulan namun pernah sesekali makan mie instan dan dalam jangka waktu yang lebih lama"
"2024/08/02 5:47:25 PM GMT+7","AVF","15 tahun - 29 tahun","Mie Sedap - Kuah - Ayam Bawang","Setiap bulan minimal 1 bungkus namun tidak setiap minggu"
"2024/08/02 5:49:50 PM GMT+7","Ditto","15 tahun - 29 tahun","Sedap - kuah - soto","Setiap bulan minimal 1 bungkus namun tidak setiap minggu"
"2024/08/02 5:51:26 PM GMT+7","FH","15 tahun - 29 tahun","Nongshim - Kuah - Neoguri","Tidak setiap bulan namun pernah sesekali makan mie instan dan dalam jangka waktu yang lebih lama"
"2024/08/02 5:55:14 PM GMT+7","ESW","45 tahun - 60 tahun","Indomie-kuah-soto","Setiap bulan minimal 1 bungkus namun tidak setiap minggu"
"2024/08/02 6:22:23 PM GMT+7","Kuncoro haryadi","45 tahun - 60 tahun","Indomie - soto - isi 1","Tidak setiap bulan namun pernah sesekali makan mie instan dan dalam jangka waktu yang lebih lama"
"2024/08/02 6:35:00 PM GMT+7","Listianingsih","45 tahun - 60 tahun","Sarimi-rebus-ayam bawang","Tidak setiap bulan namun pernah sesekali makan mie instan dan dalam jangka waktu yang lebih lama"
"2024/08/02 8:29:52 PM GMT+7","HLB","15 tahun - 29 tahun","Mie Sedap - goreng - ayam geprek","Setiap minggu minimal 1 bungkus namun tidak setiap hari"
"2024/08/02 9:36:07 PM GMT+7","ISM","> 60 tahun","indomie-kuah-ayam bawang","Tidak setiap bulan namun pernah sesekali makan mie instan dan dalam jangka waktu yang lebih lama"
"2024/08/03 8:42:42 AM GMT+7","MDS","15 tahun - 29 tahun","Sedap-kuah-ayam bawang","Setiap minggu minimal 1 bungkus namun tidak setiap hari"
"2024/08/03 2:34:14 PM GMT+7","KW","15 tahun - 29 tahun","Sedap-goreng-original","Tidak setiap bulan namun pernah sesekali makan mie instan dan dalam jangka waktu yang lebih lama"
"2024/08/03 2:41:56 PM GMT+7","KW","30 tahun - 45 tahun","Sedap-Goreng","Setiap hari lebih dari 1 bungkus"
"2024/08/03 2:57:14 PM GMT+7","Nigga","15 tahun - 29 tahun","Mie sedaap soto madura","Setiap minggu minimal 1 bungkus namun tidak setiap hari"
"2024/08/03 3:26:15 PM GMT+7","Melati","45 tahun - 60 tahun","Indomie goreng original","Tidak setiap bulan namun pernah sesekali makan mie instan dan dalam jangka waktu yang lebih lama"
"2024/08/03 3:39:33 PM GMT+7","DR","15 tahun - 29 tahun","Indomie - Goreng - Jumbo Original","Setiap minggu minimal 1 bungkus namun tidak setiap hari"
"2024/08/03 7:43:53 PM GMT+7","BIC","< 15 tahun","Indomie, goreng, aceh","Setiap minggu minimal 1 bungkus namun tidak setiap hari"
"2024/08/03 10:36:36 PM GMT+7","Yanti","45 tahun - 60 tahun","sedaap-kuah-ayam bawang","Tidak setiap bulan namun pernah sesekali makan mie instan dan dalam jangka waktu yang lebih lama"
"2024/08/04 10:35:04 AM GMT+7","Aulia","< 15 tahun","Sedap-goreng-original","Setiap bulan minimal 1 bungkus namun tidak setiap minggu"
"2024/08/05 8:53:58 AM GMT+7","ASF","15 tahun - 29 tahun","Indomie - goreng - hype abis ayam geprek","Setiap bulan minimal 1 bungkus namun tidak setiap minggu"
"2024/08/06 8:02:34 AM GMT+7","RHA","15 tahun - 29 tahun","Gaga 100 - kuah - jalapeno level 5 extra pedas","Setiap hari 1 bungkus"
